goal_bonus,heading_rad,heading_deg,lambda_mean,lambda_std,lambda_median,cos_theta_mean,cos_theta_std,cos_theta_median,success_rate,mean_ep_reward
0.0,-1.872262288503008,-107.27272727272727,1.4634040594100952,5.547743797302246,0.5954006314277649,0.014400899410247803,0.6977769732475281,0.006126064341515303,0.69,5.951265122575796
0.0,-1.8087957702486688,-103.63636363636364,1.3826971054077148,3.159742832183838,0.5928959250450134,0.019610537216067314,0.7129085063934326,0.03102688491344452,0.69,5.951265122575796
0.0,-1.7453292519943295,-100.0,1.3373981714248657,5.348316669464111,0.598426342010498,0.00874848198145628,0.7076353430747986,0.014475774951279163,0.69,5.951265122575796
0.0,-1.6818627337399903,-96.36363636363636,1.368369460105896,4.389560222625732,0.5821931958198547,-0.0009978312300518155,0.7119304537773132,0.0010857154848054051,0.69,5.951265122575796
0.0,-1.6183962154856508,-92.72727272727272,1.5759838819503784,9.726778984069824,0.584378719329834,0.0006304331473074853,0.7182895541191101,-0.0017732374835759401,0.69,5.951265122575796
0.0,-1.5549296972313116,-89.09090909090908,1.743566870689392,8.531064987182617,0.5626934766769409,-0.029635395854711533,0.7213985919952393,-0.08611041307449341,0.69,5.951265122575796
0.0,-1.4914631789769723,-85.45454545454544,1.6980133056640625,9.1077880859375,0.5607872605323792,-0.0002741923090070486,0.7167390584945679,-0.012665508314967155,0.69,5.951265122575796
0.0,-1.427996660722633,-81.81818181818181,1.6743521690368652,7.089313983917236,0.5346940755844116,0.012673252262175083,0.710076630115509,0.010805074125528336,0.69,5.951265122575796
0.0,-1.3645301424682938,-78.18181818181817,1.9938427209854126,30.25029945373535,0.5710077881813049,0.03716888651251793,0.7118998169898987,0.05550327152013779,0.69,5.951265122575796
0.0,-1.3010636242139546,-74.54545454545453,1.9052883386611938,13.111746788024902,0.6055020689964294,0.04553719982504845,0.7185121178627014,0.09111803025007248,0.69,5.951265122575796
0.0,-1.2375971059596154,-70.9090909090909,1.6968976259231567,6.106595993041992,0.6004098653793335,0.049399055540561676,0.7070775032043457,0.07747791707515717,0.69,5.951265122575796
0.0,-1.1741305877052761,-67.27272727272727,1.7175414562225342,6.234025478363037,0.6449438333511353,0.06418119370937347,0.7128039002418518,0.1282329261302948,0.69,5.951265122575796
0.0,-1.1106640694509369,-63.63636363636363,1.5832585096359253,5.4506049156188965,0.6496924161911011,0.10026783496141434,0.7133228778839111,0.18871617317199707,0.69,5.951265122575796
0.0,-1.0471975511965974,-59.999999999999986,1.5872122049331665,5.0425028800964355,0.6293495893478394,0.1278713196516037,0.7074994444847107,0.2405194491147995,0.69,5.951265122575796
0.0,-0.9837310329422584,-56.36363636363636,1.524786114692688,5.631585597991943,0.6282019019126892,0.13345967233181,0.7034984827041626,0.25849321484565735,0.69,5.951265122575796
0.0,-0.9202645146879189,-52.72727272727271,1.3930319547653198,3.902113914489746,0.6060547828674316,0.14489991962909698,0.6925128698348999,0.27271437644958496,0.69,5.951265122575796
